mid,time_stamp,from_uid,to_uid,content
1,2021-11-10 13:40:47,364,1994,
2,2021-09-10 03:17:11,399,2659,
3,2021-11-03 23:47:17,4422,3488,
4,2021-09-23 13:12:59,9751,6568,
5,2021-09-04 09:00:08,485,8454,
6,2021-12-01 08:17:00,2291,3815,
7,2021-10-23 15:11:30,644,4294,
8,2021-10-10 10:21:38,4782,1283,
9,2021-11-16 13:49:31,3764,9529,
10,2021-10-04 13:57:53,4739,1189,
11,2021-10-02 15:38:07,6750,4298,
12,2021-11-25 03:14:04,1491,2563,
13,2021-10-02 04:21:46,2912,590,
14,2021-12-03 01:12:18,3438,8764,
15,2021-09-19 06:15:22,9846,4955,
16,2021-11-22 23:35:43,5011,1430,
17,2021-12-05 20:00:14,2552,7582,
18,2021-11-05 06:25:09,7386,981,
19,2021-12-08 17:42:41,9587,3851,
20,2021-11-29 12:22:03,9315,1758,
21,2021-12-04 07:53:03,3443,1491,
22,2021-12-05 07:34:54,9114,1365,
23,2021-10-05 17:32:03,3269,7828,
24,2021-10-18 17:04:07,1480,2767,
25,2021-10-19 10:34:56,8029,1818,
26,2021-09-23 10:47:04,1965,4291,
27,2021-10-06 03:32:12,7068,6855,
28,2021-12-05 03:51:13,7858,2257,
29,2021-10-24 00:00:59,6736,6672,
30,2021-09-09 06:18:03,309,6728,
31,2021-10-24 09:27:13,652,4854,
32,2021-10-20 11:40:47,9795,693,
33,2021-10-20 17:56:34,5065,9766,
34,2021-12-04 16:13:18,1435,4446,
35,2021-11-23 11:38:39,3306,3732,
36,2021-09-30 19:14:56,8052,8012,
37,2021-10-06 02:39:45,7157,31,
38,2021-09-28 16:45:00,2243,4234,
39,2021-11-05 02:19:10,1609,7154,
40,2021-12-08 17:12:52,2419,7996,
41,2021-10-22 09:00:19,2631,4421,
42,2021-09-29 05:06:56,5574,8726,
43,2021-11-07 22:45:35,7333,5059,
44,2021-12-08 15:55:29,8218,5429,
45,2021-09-04 14:39:03,5467,5975,
46,2021-10-29 11:34:49,5039,1289,
47,2021-10-13 22:26:25,7234,1578,
48,2021-11-20 17:31:09,9639,1763,
49,2021-10-06 22:28:30,6358,2661,
50,2021-09-10 07:33:32,2375,6913,
51,2021-10-20 05:48:05,5928,4949,
52,2021-09-08 01:46:58,7704,1285,
53,2021-11-20 13:46:19,1535,1810,
54,2021-10-30 06:23:40,2030,4625,
55,2021-12-04 21:54:19,5507,9554,
56,2021-12-07 09:24:13,5601,1236,
57,2021-11-03 10:10:15,325,2890,
58,2021-10-18 20:47:33,6961,1,
59,2021-09-25 23:26:28,1400,672,
60,2021-10-14 09:58:56,3992,3507,
61,2021-12-11 02:23:55,9445,3379,
62,2021-10-04 00:49:35,7194,4882,
63,2021-12-10 06:14:13,4827,9590,
64,2021-11-03 21:20:32,9723,2498,
65,2021-12-02 05:52:09,4902,6279,
66,2021-09-18 14:14:27,8862,4403,
67,2021-09-13 18:31:04,7203,4460,
68,2021-10-06 14:00:20,8505,1039,
69,2021-09-04 04:59:12,6374,8666,
70,2021-10-11 02:58:43,1324,7604,
71,2021-09-13 03:15:37,1727,508,
72,2021-09-26 19:30:45,3374,174,
73,2021-10-30 02:54:56,7320,7231,
74,2021-11-30 15:27:02,6253,5990,
75,2021-12-02 13:29:09,88,2321,
76,2021-10-18 11:43:56,7931,7712,
77,2021-10-19 16:02:33,6269,6536,
78,2021-11-27 23:18:48,9017,2838,
79,2021-11-05 15:26:40,7273,5945,
80,2021-11-29 07:47:34,3982,7761,
81,2021-11-25 18:50:48,6475,9648,
82,2021-09-10 02:53:26,6990,8098,
83,2021-11-15 15:04:49,3050,2661,
84,2021-11-02 01:21:01,9033,933,
85,2021-11-02 12:40:07,7818,8705,
86,2021-11-25 23:43:32,9602,7558,
87,2021-09-20 19:29:51,2184,4609,
88,2021-10-05 20:31:07,3946,122,
89,2021-10-23 13:15:59,5711,8883,
90,2021-09-12 11:13:44,9678,2004,
91,2021-09-10 13:42:18,9215,1961,
92,2021-09-05 20:43:50,5516,3537,
93,2021-11-15 12:45:04,1747,2254,
94,2021-09-25 07:06:37,3426,8451,
95,2021-09-18 19:28:56,1445,290,
96,2021-12-09 21:53:22,3459,6839,
97,2021-11-15 14:25:17,1725,1626,
98,2021-11-01 00:51:19,9995,3515,
99,2021-10-16 20:49:08,4343,2936,
100,2021-09-04 23:11:03,5637,4667,
101,2021-10-24 21:44:55,1162,2574,
102,2021-11-23 09:31:19,9993,324,
103,2021-10-01 14:01:28,2470,2201,
104,2021-10-30 23:36:25,5997,1430,
105,2021-09-27 12:36:57,4902,5623,
106,2021-12-03 10:09:27,83,2324,
107,2021-11-24 21:17:00,7421,1616,
108,2021-10-08 21:56:19,3422,9994,
109,2021-09-29 07:24:46,5196,6428,
110,2021-09-04 21:19:33,4496,5024,
111,2021-12-08 05:43:57,3092,9601,
112,2021-09-20 11:41:59,4683,8400,
113,2021-10-20 06:51:12,8150,5514,
114,2021-11-24 17:24:29,6061,9933,
115,2021-10-23 19:01:20,5673,3851,
116,2021-10-24 13:58:44,2757,4716,
117,2021-10-12 17:44:44,5443,5205,
118,2021-10-23 20:59:33,3883,4863,
119,2021-09-06 03:59:39,8289,6369,
120,2021-09-05 20:00:02,7912,2760,
121,2021-10-29 02:46:49,7383,6015,
122,2021-12-06 12:52:46,8357,9278,
123,2021-10-22 02:04:09,1109,5384,
124,2021-10-03 22:40:55,1383,2128,
125,2021-10-19 10:47:09,2970,7470,
